"location","control","students","male_female","student_fac","SAT_verbal","SAT_math","apps","percent_admit","academics","social","quality_life"
"suburban","private","5-10",0.666666666666667,20,500,550,"10-13",50,"4","5","3"
"urban","private","10-15",0.818181818181818,12,550,575,"13-17",60,"4","4","3"
"urban","private","<5",1,11,625,650,"10-13",20,"5","4","5"
"suburban","private","<5",2.33333333333333,10,650,780,"<4",15,"5","1","3"
"urban","private","<5",1.5,10,600,650,"4-7",40,"4","3","3"
"urban","private","<5",2.33333333333333,9,550,650,"<4",85,"3","2","3"
"urban","private","<5",2.33333333333333,9,625,650,"4-7",30,"5","3","3"
"small-city","private","10-15",1.22222222222222,7,600,650,"17+",30,"5","3","2"
"small-town","private","<5",1.5,7,625,650,"7-10",20,"5","5","3"
"small-city","private","<5",4,20,500,550,"<4",60,"3","3","3"
"small-city","public","15-20",0.818181818181818,20,500,525,"7-10",60,"3","3","3"
"urban","public","5-10",4,20,525,625,"4-7",60,"4","2","2"
"urban","private","5-10",1.85714285714286,10,700,675,"13-17",20,"5","3","4"
"urban","public","<5",9,25,450,575,"<4",50,"3","1","3"
"urban","private","<5",2.33333333333333,10,625,675,"<4",50,"5","3","3"
"urban","private","<5",3,5,650,750,"4-7",30,"5","3","3"
"urban","public","<5",9,25,450,575,"<4",50,"3","1","3"
"urban","private","5-10",1,7,550,575,"7-10",50,"4","3","3"
"urban","private","<5",1.5,7,425,475,"<4",50,"3","1","2"
"small-town","private","<5",1.85714285714286,7,650,675,"10-13",20,"5","3","3"
"small-city","private","<5",4,11,575,700,"7-10",50,"4","3","3"
"suburban","private","5-10",1.85714285714286,14,525,575,"7-10",70,"3","3","3"
"suburban","private","5-10",1.22222222222222,10,625,675,"13-17",20,"5","4","5"
"urban","private","<5",4,13,500,625,"<4",60,"3","2","4"
"urban","public","15-20",1,11,475,500,"10-13",70,"2","2","2"
"small-city","public","20+",1.5,12,475,550,"10-13",80,"3","3","3"
"small-city","public","10-15",1,15,500,550,"7-10",70,"4","3","4"
"urban","public","20+",1,11,500,550,"4-7",80,"4","3","3"
"suburban","public","5-10",1.22222222222222,15,550,600,"4-7",80,"4","4","4"
"suburban","public","5-10",1,18,525,550,"<4",70,"4","3","5"
"small-town","public","10-15",1.22222222222222,15,500,500,"4-7",90,"2","4","3"
"urban","private","5-10",1.5,10,600,650,"10-13",40,"5","4","3"
"urban","private","<5",1,13,450,525,"<4",60,"3","3","4"
"urban","private","10-15",1.5,18,475,525,"10-13",70,"4","4","3"
"urban","private","<5",4,12,550,650,"<4",50,"4","3","4"
"small-city","private","<5",1.22222222222222,5,675,675,"10-13",20,"5","3","4"
"suburban","private","<5",1,9,580,610,"<4",70,"4","4","3"
"suburban","private","5-10",1,8,550,600,"4-7",60,"4","4","4"
"urban","private","5-10",1,16,618,648,"7-10",30,"4","5","5"
"urban","private","<5",0.818181818181818,15,500,575,"<4",60,"4","3","3"
"urban","public","15-20",0.818181818181818,11,500,550,"4-7",80,"3","2","2"
"urban","private","5-10",1.5,10,550,625,"4-7",70,"4","3","3"
"urban","public","20+",1,13,500,575,"7-10",70,"4","3","3"
"small-city","private","<5",1.22222222222222,13,450,500,"<4",90,"3","4","3"
"suburban","private","<5",1,10,580,620,"<4",75,"4","4","4"
"urban","private","<5",1.04081632653061,9,560,600,"<4",45,"4","3","4"
"small-city","private","<5",1,15,500,480,"<4",90,"3","3","2"
"urban","public","5-10",2,20,510,500,"<4",80,"2","5","4"
"small-town","private","<5",0.833333333333333,14,556,542,"<4",75,"3","4","3"
"urban","private","5-10",1.18918918918919,17,540,490,"10-13",55,"3","2","2"
"small-town","public","10-15",1,20,490,530,"4-7",70,"2","4","5"
"urban","private","<5",0.3,20,500,500,"<4",100,"2","1","1"
"small-town","private","<5",1.3,10,420,490,"<4",85,"1","3","4"
"urban","private","5-10",1,7,550,600,"4-7",60,"4","3","4"
"small-city","public","15-20",1.04081632653061,17,470,535,"4-7",70,"2","4","4"
"small-town","public","15-20",1.22222222222222,18,480,545,"4-7",90,"2","4","4"
"small-town","private","<5",4,11,560,590,"<4",50,"4","4","4"
"urban","public","15-20",0.666666666666667,18,450,450,"4-7",70,"4","3","3"
"urban","public","10-15",1,15,450,400,"4-7",60,"3","2","3"
"urban","private","<5",0.666666666666667,15,520,490,"<4",60,"3","2","4"
"suburban","public","10-15",1.5,10,480,560,"4-7",60,"4","4","4"
"urban","public","15-20",1.5,12,450,675,"4-7",90,"3","3","3"
"urban","private","10-15",1,11,494,529,"<4",65,"2","3","3"
"small-town","public","20+",1.22222222222222,16,480,460,"10-13",80,"4","3","5"
"small-city","private","5-10",0.666666666666667,15,458,516,"<4",80,"3","5","4"
"urban","public","5-10",1.5,16,472,535,"4-7",60,"3","3","3"
"small-town","public","20+",1.5,20,470,470,"10-13",80,"4","3","4"
"urban","private","<5",6.69230769230769,8,600,600,"7-10",75,"3","2","2"
"small-town","private","10-15",1,28,430,452,"17+",65,"3","3","3"
"small-town","public","20+",1,18,480,510,"10-13",80,"3","3","3"
"urban","private","5-10",1.22222222222222,17,525,540,"4-7",60,"3","3","3"
"suburban","private","<5",1,18,500,500,"<4",40,"3","3","3"
"urban","private","10-15",1.66666666666667,18,468,508,"4-7",75,"2","3","2"
"urban","private","5-10",5,8,617,639,"<4",70,"5","4","4"
"small-town","private","10-15",1.22222222222222,20,410,470,"<4",80,"2","3","2"
"suburban","private","<5",1.5,10,625,625,"<4",80,"4","3","4"
"urban","public","15-20",1.06122448979592,19,522,596,"13-17",50,"3","3","4"
"urban","public","5-10",0.818181818181818,19,527,594,"10-13",45,"3","4","3"
"small-city","private","<5",1.12765957446809,20,432,488,"<4",80,"1","4","4"
"small-town","private","<5",0.818181818181818,9,560,520,"<4",70,"3","4","4"
"suburban","private","<5",1.08333333333333,15,535,553,"<4",70,"3","3","3"
"suburban","private","<5",1.27272727272727,10,620,660,"<4",50,"5","3","4"
"urban","public","20+",1,12,485,540,"17+",80,"3","4","4"
"urban","private","5-10",1.5,11,552,594,"17+",80,"3","5","4"
"small-city","private","5-10",1,15,515,515,"<4",70,"3","3","4"
"suburban","public","<5",3,14,404,443,"<4",80,"3","2","2"
"small-city","public","<5",2.33333333333333,12,250,250,"<4",80,"1","3","3"
"urban","private","<5",0.666666666666667,7,400,400,"4-7",15,"3","4","4"
"urban","private","<5",0.666666666666667,15,500,530,"<4",80,"3","3","3"
"urban","public","20+",1.22222222222222,16,490,557,"7-10",80,"4","3","4"
"suburban","public","20+",1.22222222222222,16,468,529,"13-17",60,"3","3","3"
"urban","public","20+",1,25,450,500,"17+",90,"2","4","4"
"suburban","private","<5",0.923076923076923,15,500,550,"<4",80,"3","3","4"
"small-city","private","<5",4,20,535,640,"<4",70,"3","3","4"
"urban","private","<5",0.111111111111111,14,600,600,"<4",30,"3","3","4"
"small-town","public","5-10",0.666666666666667,14,600,600,"4-7",40,"3","4","4"
"suburban","private","<5",1.5,16,489,529,"<4",80,"3","4","4"
"suburban","public","<5",2.33333333333333,14,510,540,"<4",70,"3","3","3"
"small-town","private","<5",1.5,8,600,500,"4-7",35,"4","3","3"
"urban","private","5-10",0.923076923076923,17,560,550,"<4",80,"3","4","4"
"suburban","private","<5",0.666666666666667,10,540,560,"<4",75,"3","3","3"
"urban","public","15-20",1,20,450,450,"4-7",95,"1","2","2"
"urban","public","5-10",0.785714285714286,14,500,510,"<4",95,"2","2","2"
"suburban","private","<5",2.33333333333333,10,450,400,"<4",95,"1","2","2"
"urban","private","5-10",0.0805008944543828,21,485,521,"10-13",65,"4","4","3"
"urban","public","20+",1.5,14,450,525,"10-13",90,"4","2","2"
"urban","public","20+",1.22222222222222,16,450,500,"17+",90,"4","4","3"
"urban","public","20+",2.25,14,466,538,"<4",0,"2","3","3"
"small-town","private","<5",1.17391304347826,10,400,400,"<4",70,"2","2","3"
"small-city","public","10-15",1,11,575,625,"10-13",35,"4","4","5"
"urban","private","5-10",2.33333333333333,11,600,600,"4-7",50,"4","4","4"
"small-city","public","20+",1.5,16,500,550,"13-17",70,"3","5","5"
"suburban","public","<5",4,18,550,600,"<4",60,"3","3","3"
"suburban","private","<5",2,9,621,671,"<4",35,"5","2","3"
"suburban","private","5-10",0.818181818181818,13,445,491,"4-7",75,"3","3","3"
"suburban","public","10-15",1,30,400,400,"<4",80,"2","2","2"
"suburban","private","<5",0.428571428571429,11,500,530,"<4",60,"4","3","4"
"suburban","public","<5",0.538461538461538,17,525,525,"<4",40,"3","3","3"
"urban","private","<5",1,14,530,560,"4-7",75,"3","4","3"
"suburban","private","<5",1,11,463,490,"<4",65,"4","2","3"
"small-city","private","<5",0.538461538461538,10,550,575,"<4",40,"4","3","4"
"small-city","private","5-10",3,10,550,650,"4-7",50,"4","4","2"
